  image_id,x_1,y_1,width,height,category,split
000001.jpg,95,71,226,313,0,train
000002.jpg,72,94,221,306,0,train
000003.jpg,216,59,91,126,0,train
000004.jpg,622,257,564,781,0,train
000005.jpg,236,109,120,166,0,train
000006.jpg,146,67,182,252,0,train
000007.jpg,64,93,211,292,0,train
000008.jpg,212,89,218,302,0,train
000009.jpg,600,274,343,475,0,train
000010.jpg,113,110,211,292,0,train
000011.jpg,166,68,125,173,0,train
000012.jpg,102,31,104,144,0,train
000013.jpg,89,132,247,342,0,train
000014.jpg,110,122,234,324,0,train
000015.jpg,93,86,190,263,0,train
000016.jpg,39,89,283,392,0,train
000017.jpg,40,64,62,86,0,train
000018.jpg,140,84,195,270,0,train
000019.jpg,226,87,138,191,0,train
000020.jpg,85,38,221,306,0,train
000021.jpg,128,27,135,187,0,train
000022.jpg,130,33,114,158,0,train
000023.jpg,159,94,231,320,0,train
000024.jpg,753,127,114,158,0,train
000025.jpg,239,85,200,277,0,train
000026.jpg,59,45,107,148,0,train
000027.jpg,90,47,104,144,0,train
000028.jpg,118,32,174,241,0,train
000029.jpg,93,71,153,212,0,train
000030.jpg,165,181,372,515,0,train
000031.jpg,70,94,283,392,0,train
000032.jpg,143,50,211,292,0,train
000033.jpg,82,37,114,158,0,train
000034.jpg,181,41,101,140,0,train
000035.jpg,322,138,146,202,0,train
000036.jpg,102,56,125,173,0,train
000037.jpg,96,74,174,241,0,train
000038.jpg,128,99,242,335,0,train
000039.jpg,167,207,96,133,0,train
000040.jpg,91,87,166,230,0,train
000041.jpg,127,91,172,238,0,train
000042.jpg,84,102,174,241,0,train
000043.jpg,133,62,133,184,0,train
000044.jpg,743,626,998,1382,0,train
000045.jpg,220,26,138,191,0,train
000046.jpg,134,65,99,137,0,train
000047.jpg,142,89,203,281,0,train
000048.jpg,264,58,140,194,0,train
000049.jpg,47,45,60,83,0,train
000050.jpg,110,30,133,184,0,train
000051.jpg,61,98,255,353,0,train
000052.jpg,135,159,333,461,0,train
000053.jpg,35,64,91,126,0,train
000054.jpg,876,228,224,310,0,train
000055.jpg,30,62,268,371,0,train
000056.jpg,188,91,281,389,0,train
000057.jpg,220,25,114,158,0,train
000058.jpg,167,64,140,194,0,train
000059.jpg,125,169,263,364,0,train
000060.jpg,17,84,174,241,0,train
000061.jpg,171,50,239,331,0,train
000062.jpg,263,68,94,130,0,train
000063.jpg,1,58,91,126,0,train
000064.jpg,82,66,177,245,0,train
000065.jpg,377,105,164,227,0,train
000066.jpg,29,39,57,79,0,train
000067.jpg,254,95,237,322,0,train
000068.jpg,98,103,234,324,0,train
000069.jpg,58,54,229,317,0,train
000070.jpg,46,30,75,104,0,train
000071.jpg,59,105,174,241,0,train
000072.jpg,20,29,101,140,0,train
000073.jpg,145,50,161,223,0,train
000074.jpg,126,1,374,518,0,train
000075.jpg,257,6,99,137,0,train
000076.jpg,175,29,133,184,0,train
000077.jpg,70,116,221,306,0,train
000078.jpg,272,43,151,209,0,train
000079.jpg,57,47,221,306,0,train
000080.jpg,84,79,281,389,0,train
000081.jpg,111,58,133,184,0,train
000082.jpg,67,33,99,137,0,train
000083.jpg,88,84,161,223,0,train
000084.jpg,99,48,117,162,0,train
000085.jpg,271,312,603,835,0,train
000086.jpg,856,226,317,439,0,train
000087.jpg,44,34,81,112,0,train
000088.jpg,52,112,278,385,0,train
000089.jpg,337,146,320,443,0,train
000090.jpg,38,33,109,151,0,train
000091.jpg,101,120,174,241,0,train
000092.jpg,133,78,140,194,0,train
000093.jpg,167,43,55,76,0,train
000094.jpg,167,38,96,133,0,train
000095.jpg,28,20,109,137,0,train
000096.jpg,322,110,330,457,0,train
000097.jpg,202,77,200,277,0,train
000098.jpg,436,56,101,140,0,train
000099.jpg,102,83,138,191,0,train
000100.jpg,284,140,364,504,0,train
000101.jpg,74,45,91,126,0,train
000102.jpg,75,1,125,173,0,train
000103.jpg,212,134,237,328,0,train
000104.jpg,84,119,151,209,0,train
000105.jpg,107,41,70,97,0,train
000106.jpg,245,187,203,281,0,train
000107.jpg,41,57,99,137,0,train
000108.jpg,217,86,187,259,0,train
000109.jpg,90,156,478,662,0,train
000110.jpg,191,133,185,256,0,train
000111.jpg,96,111,429,594,0,train
000112.jpg,115,65,109,151,0,train
000113.jpg,137,22,120,166,0,train
000114.jpg,157,62,182,252,0,train
000115.jpg,298,41,166,230,0,train
000116.jpg,111,74,187,259,0,train
000117.jpg,274,59,320,443,0,train
000118.jpg,101,113,179,248,0,train
000119.jpg,33,48,127,176,0,train
000120.jpg,70,8,68,119,0,train
000121.jpg,261,117,296,410,0,train
000122.jpg,148,56,161,223,0,train
000123.jpg,94,72,133,184,0,train
000124.jpg,792,230,785,967,0,train
000125.jpg,48,30,143,198,0,train
000126.jpg,241,68,205,284,0,train
000127.jpg,65,22,65,90,0,train
000128.jpg,229,212,91,126,0,train
000129.jpg,185,248,369,511,0,train
000130.jpg,63,46,94,130,0,train
000131.jpg,43,75,151,209,0,train
000132.jpg,410,213,299,414,0,train
000133.jpg,221,69,161,223,0,train
000134.jpg,85,74,177,245,0,train
000135.jpg,242,194,356,493,0,train
000136.jpg,60,79,125,173,0,train
000137.jpg,120,80,179,248,0,train
000138.jpg,119,1,153,212,0,train
000139.jpg,47,31,91,126,0,train
000140.jpg,195,99,187,259,0,train
000141.jpg,111,45,91,126,0,train
000142.jpg,215,55,177,245,0,train
000143.jpg,29,96,291,403,0,train
000144.jpg,94,62,130,180,0,train
000145.jpg,756,511,998,1382,0,train
000146.jpg,162,57,137,202,0,train
000147.jpg,761,159,551,763,0,train
000148.jpg,114,65,213,295,0,train
000149.jpg,195,54,133,184,0,train
000150.jpg,340,179,286,396,0,train
000151.jpg,133,142,257,355,0,train
000152.jpg,50,75,224,310,0,train
000153.jpg,163,92,177,245,0,train
000154.jpg,222,155,229,317,0,train
000155.jpg,320,291,458,634,0,train
000156.jpg,40,89,257,356,0,train
000157.jpg,148,73,367,508,0,train
000158.jpg,22,40,114,158,0,train
000159.jpg,10,119,109,151,0,train
000160.jpg,184,84,172,238,0,train
000161.jpg,192,98,268,371,0,train
000162.jpg,140,3,78,108,0,train
000163.jpg,302,61,559,705,0,train
000164.jpg,33,46,265,367,0,train
000165.jpg,619,170,187,259,0,train
000166.jpg,467,132,276,382,0,train
000167.jpg,176,54,86,119,0,train
000168.jpg,531,363,634,878,0,train
000169.jpg,89,1,112,155,0,train
000170.jpg,141,58,130,180,0,train
000171.jpg,82,89,250,346,0,train
000172.jpg,365,293,712,986,0,train
000173.jpg,109,77,120,166,0,train
000174.jpg,82,126,260,360,0,train
000175.jpg,26,121,226,313,0,train
000176.jpg,118,60,156,216,0,train
000177.jpg,669,181,231,320,0,train
000178.jpg,88,117,174,241,0,train
000179.jpg,556,389,1050,1454,0,train
000180.jpg,113,228,374,518,0,train
000181.jpg,91,76,156,216,0,train
000182.jpg,29,14,223,310,0,train
000183.jpg,148,143,242,335,0,train
000184.jpg,21,48,190,263,0,train
000185.jpg,107,118,211,292,0,train
000186.jpg,114,75,135,187,0,train
000187.jpg,58,49,153,212,0,train
000188.jpg,181,41,192,266,0,train
000189.jpg,169,159,127,176,0,train
000190.jpg,187,19,91,126,0,train
000191.jpg,121,113,109,151,0,train
000192.jpg,118,48,60,83,0,train
000193.jpg,178,62,130,180,0,train
000194.jpg,4,59,205,284,0,train
000195.jpg,108,75,263,364,0,train
000196.jpg,48,66,296,402,0,train
000197.jpg,86,126,151,209,0,train
000198.jpg,137,89,179,248,0,train
000199.jpg,106,158,88,122,0,train
000200.jpg,68,49,195,270,0,train
000201.jpg,279,68,520,720,0,train
000202.jpg,134,41,190,263,0,train
000203.jpg,124,85,231,320,0,train
000204.jpg,68,59,174,241,0,train
000205.jpg,305,228,569,788,0,train
000206.jpg,62,98,182,252,0,train
000207.jpg,184,36,143,198,0,train
000208.jpg,278,64,250,346,0,train
000209.jpg,86,40,109,151,0,train
000210.jpg,175,46,161,223,0,train
000211.jpg,264,65,151,209,0,train
000212.jpg,110,104,426,590,0,train
000213.jpg,90,71,164,227,0,train
000214.jpg,97,98,195,270,0,train
000215.jpg,40,69,211,292,0,train
000216.jpg,84,101,244,338,0,train
000217.jpg,46,76,153,212,0,train
000218.jpg,132,101,177,245,0,train
000219.jpg,291,78,122,169,0,train
000220.jpg,90,114,252,349,0,train
000221.jpg,70,102,302,418,0,train
000222.jpg,431,119,135,187,0,train
000223.jpg,151,78,109,151,0,train
